split,src_id,dst_id,relation_type,label
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Bool.instAssociativeBne,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Std.Associative,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Nat.instAntisymmNotLt,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Antisymm,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::StateCpsT.instMonad,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Pure,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::instMulUInt32,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Mul,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::EStateM.instMonad,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Seq,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Nat.instLawfulBEq,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::LawfulBEq,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Except.instMonad,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::SeqRight,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::BitVec.instAssociativeHMul,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Std.Associative,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Nat.instAssociativeLcm,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Std.Associative,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::instMonadOption,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Functor,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::instHPow,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::HPow,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::BitVec.instOrOp,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::OrOp,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::ReaderT.instLawfulApplicative,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::LawfulFunctor,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Array.instToString,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::ToString,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::instMonadST,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Pure,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::ExceptT.instMonad,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::SeqRight,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::instCoeHTCTIntOfIntCast,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::CoeHTCT,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Except.instMonad,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Applicative,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Array.instBEq,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::BEq,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::instCoeHTCT,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::CoeHTCT,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::instOrdOption,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Ord,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::IO.instInhabitedTaskState,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Inhabited,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Ordering.instDecidableEq,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Decidable,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Bool.instDecidableLe,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Decidable,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Fin.subsingleton_zero,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Subsingleton,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::instStreamSubarray,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Stream,instance_ancestor,1
train,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::Except.instMonad,7b6ecb9ad4829e4e73600a3329baeb3b5df8d23f::SeqLeft,instance_ancestor,1
